policy,kind,seed_label,scenario_seed,reward,waiting_mean,queue_mean,phase_switches,steps
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7020,-234.39999999999995,3.1,0.9833333333333333,17,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7021,-228.49999999999994,3.05,0.9666666666666667,19,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7022,-392.50000000000017,5.35,1.3333333333333333,17,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7023,-191.19999999999996,2.5,0.8,16,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7024,-780.4000000000003,10.333333333333334,2.716666666666667,23,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7025,-157.09999999999997,2.183333333333333,0.6666666666666666,16,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7026,-549.4000000000001,7.783333333333333,1.5833333333333333,14,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7027,-417.30000000000007,5.75,1.3333333333333333,14,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7028,-368.2000000000001,5.183333333333334,1.1666666666666667,15,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed1/best_model.zip,7029,-444.9000000000002,6.166666666666667,1.4166666666666667,17,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed2/best_model.zip,7000,-370.6000000000001,5.05,1.3666666666666667,28,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed2/best_model.zip,7001,-374.50000000000006,5.016666666666667,1.4,28,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed2/best_model.zip,7002,-354.4000000000001,4.783333333333333,1.3333333333333333,26,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed2/best_model.zip,7003,-593.4000000000001,7.85,2.15,28,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed2/best_model.zip,7004,-395.60000000000014,5.35,1.4333333333333333,28,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed2/best_model.zip,7005,-399.3000000000001,5.383333333333334,1.4166666666666667,26,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed2/best_model.zip,7006,-530.5000000000003,7.133333333333334,1.8,26,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed2/best_model.zip,7007,-432.4000000000002,5.783333333333333,1.5,26,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed2/best_model.zip,7008,-726.3000000000003,9.716666666666667,2.5166666666666666,26,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed2/best_model.zip,7009,-362.5000000000002,4.95,1.2833333333333334,27,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed2/best_model.zip,7010,-796.3000000000003,10.666666666666666,2.75,26,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed2/best_model.zip,7011,-602.7000000000003,8.1,2.2,28,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed2/best_model.zip,7012,-902.4000000000003,12.316666666666666,2.816666666666667,26,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed2/best_model.zip,7013,-359.50000000000006,4.883333333333334,1.2833333333333334,28,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed2/best_model.zip,7014,-367.6000000000001,4.866666666666666,1.4166666666666667,28,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed2/best_model.zip,7015,-384.6000000000001,5.233333333333333,1.3166666666666667,28,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed2/best_model.zip,7016,-892.2000000000003,12.1,2.966666666666667,26,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed2/best_model.zip,7017,-381.50000000000006,5.133333333333334,1.4166666666666667,28,60
directo_10k_fix,direct,models/checkpoints/controller_direct_fixed/seed2/best_model.zip,7018,-326.80000000000007,4.35,1.2666666666666666,29,60
